,age,Country,A1,A2_translation,vague,real_polarity_class,real_polarity,cut_words,letters,comment_length,cleaned_comment
12993,60,United Kingdom,5.0,reliable with info etc but not cheap,Vague 2021,negative,0,"['reliable', 'with', 'info', 'etc', 'but', 'not', 'cheap']","['r', 'e', 'l', 'i', 'a', 'b', 'l', 'e', ' ', 'w', 'i', 't', 'h', ' ', 'i', 'n', 'f', 'o', ' ', 'e', 't', 'c', ' ', 'b', 'u', 't', ' ', 'n', 'o', 't', ' ', 'c', 'h', 'e', 'a', 'p']",7,reliable info etc cheap
12995,37,United Kingdom,9.0,its easy and safe to use.,Vague 2021,positive,1,"['its', 'easy', 'and', 'safe', 'to', 'use.']","['i', 't', 's', ' ', 'e', 'a', 's', 'y', ' ', 'a', 'n', 'd', ' ', 's', 'a', 'f', 'e', ' ', 't', 'o', ' ', 'u', 's', 'e', '.']",6,easy safe use
12997,31,United Kingdom,10.0,very helpful and set me up to pay off debt with better interest rate,Vague 2021,positive,1,"['very', 'helpful', 'and', 'set', 'me', 'up', 'to', 'pay', 'off', 'debt', 'with', 'better', 'interest', 'rate']","['v', 'e', 'r', 'y', ' ', 'h', 'e', 'l', 'p', 'f', 'u', 'l', ' ', 'a', 'n', 'd', ' ', 's', 'e', 't', ' ', 'm', 'e', ' ', 'u', 'p', ' ', 't', 'o', ' ', 'p', 'a', 'y', ' ', 'o', 'f', 'f', ' ', 'd', 'e', 'b', 't', ' ', 'w', 'i', 't', 'h', ' ', 'b', 'e', 't', 't', 'e', 'r', ' ', 'i', 'n', 't', 'e', 'r', 'e', 's', 't', ' ', 'r', 'a', 't', 'e']",14,helpful set pay debt better interest rate
12998,25,United Kingdom,6.0,lik it,Vague 2021,negative,0,"['lik', 'it']","['l', 'i', 'k', ' ', 'i', 't']",2,lik
13001,36,United Kingdom,5.0,it’s alright,Vague 2021,negative,0,"['it’s', 'alright']","['i', 't', '’', 's', ' ', 'a', 'l', 'r', 'i', 'g', 'h', 't']",2,alright
13002,72,United Kingdom,9.0,excellent service and efficient,Vague 2021,positive,1,"['excellent', 'service', 'and', 'efficient']","['e', 'x', 'c', 'e', 'l', 'l', 'e', 'n', 't', ' ', 's', 'e', 'r', 'v', 'i', 'c', 'e', ' ', 'a', 'n', 'd', ' ', 'e', 'f', 'f', 'i', 'c', 'i', 'e', 'n', 't']",4,excellent service efficient
13003,35,United Kingdom,6.0,"decent app allows you to see your account.

poor cash back/ other incentives",Vague 2021,negative,0,"['decent', 'app', 'allows', 'you', 'to', 'see', 'your', 'account.', 'poor', 'cash', 'back/', 'other', 'incentives']","['d', 'e', 'c', 'e', 'n', 't', ' ', 'a', 'p', 'p', ' ', 'a', 'l', 'l', 'o', 'w', 's', ' ', 'y', 'o', 'u', ' ', 't', 'o', ' ', 's', 'e', 'e', ' ', 'y', 'o', 'u', 'r', ' ', 'a', 'c', 'c', 'o', 'u', 'n', 't', '.', '\n', '\n', 'p', 'o', 'o', 'r', ' ', 'c', 'a', 's', 'h', ' ', 'b', 'a', 'c', 'k', '/', ' ', 'o', 't', 'h', 'e', 'r', ' ', 'i', 'n', 'c', 'e', 'n', 't', 'i', 'v', 'e', 's']",13,decent app allows see account poor cash back incentives
13005,42,United Kingdom,0.0,because it is debt,Vague 2021,negative,0,"['because', 'it', 'is', 'debt']","['b', 'e', 'c', 'a', 'u', 's', 'e', ' ', 'i', 't', ' ', 'i', 's', ' ', 'd', 'e', 'b', 't']",4,debt
13007,40,United Kingdom,9.0,good service,Vague 2021,positive,1,"['good', 'service']","['g', 'o', 'o', 'd', ' ', 's', 'e', 'r', 'v', 'i', 'c', 'e']",2,good service
13009,70,United Kingdom,10.0,familiarity expertise sympathy location uk call centres,Vague 2021,positive,1,"['familiarity', 'expertise', 'sympathy', 'location', 'uk', 'call', 'centres']","['f', 'a', 'm', 'i', 'l', 'i', 'a', 'r', 'i', 't', 'y', ' ', 'e', 'x', 'p', 'e', 'r', 't', 'i', 's', 'e', ' ', 's', 'y', 'm', 'p', 'a', 't', 'h', 'y', ' ', 'l', 'o', 'c', 'a', 't', 'i', 'o', 'n', ' ', 'u', 'k', ' ', 'c', 'a', 'l', 'l', ' ', 'c', 'e', 'n', 't', 'r', 'e', 's']",7,familiarity expertise sympathy location call centres
13010,61,United Kingdom,10.0,i already have a regular tesco club card etc,Vague 2021,positive,1,"['i', 'already', 'have', 'a', 'regular', 'tesco', 'club', 'card', 'etc']","['i', ' ', 'a', 'l', 'r', 'e', 'a', 'd', 'y', ' ', 'h', 'a', 'v', 'e', ' ', 'a', ' ', 'r', 'e', 'g', 'u', 'l', 'a', 'r', ' ', 't', 'e', 's', 'c', 'o', ' ', 'c', 'l', 'u', 'b', ' ', 'c', 'a', 'r', 'd', ' ', 'e', 't', 'c']",9,already regular tesco club card etc
13015,32,United Kingdom,5.0,the payment system isnt as good as some of the other credit card providers i have used,Vague 2021,negative,0,"['the', 'payment', 'system', 'isnt', 'as', 'good', 'as', 'some', 'of', 'the', 'other', 'credit', 'card', 'providers', 'i', 'have', 'used']","['t', 'h', 'e', ' ', 'p', 'a', 'y', 'm', 'e', 'n', 't', ' ', 's', 'y', 's', 't', 'e', 'm', ' ', 'i', 's', 'n', 't', ' ', 'a', 's', ' ', 'g', 'o', 'o', 'd', ' ', 'a', 's', ' ', 's', 'o', 'm', 'e', ' ', 'o', 'f', ' ', 't', 'h', 'e', ' ', 'o', 't', 'h', 'e', 'r', ' ', 'c', 'r', 'e', 'd', 'i', 't', ' ', 'c', 'a', 'r', 'd', ' ', 'p', 'r', 'o', 'v', 'i', 'd', 'e', 'r', 's', ' ', 'i', ' ', 'h', 'a', 'v', 'e', ' ', 'u', 's', 'e', 'd']",17,payment system isnt good credit card providers used
13019,64,United Kingdom,4.0,not a very good customer service,Vague 2021,negative,0,"['not', 'a', 'very', 'good', 'customer', 'service']","['n', 'o', 't', ' ', 'a', ' ', 'v', 'e', 'r', 'y', ' ', 'g', 'o', 'o', 'd', ' ', 'c', 'u', 's', 't', 'o', 'm', 'e', 'r', ' ', 's', 'e', 'r', 'v', 'i', 'c', 'e']",6,good customer service
13020,31,United Kingdom,9.0,they give me some points but i would like more,Vague 2021,positive,1,"['they', 'give', 'me', 'some', 'points', 'but', 'i', 'would', 'like', 'more']","['t', 'h', 'e', 'y', ' ', 'g', 'i', 'v', 'e', ' ', 'm', 'e', ' ', 's', 'o', 'm', 'e', ' ', 'p', 'o', 'i', 'n', 't', 's', ' ', 'b', 'u', 't', ' ', 'i', ' ', 'w', 'o', 'u', 'l', 'd', ' ', 'l', 'i', 'k', 'e', ' ', 'm', 'o', 'r', 'e']",10,give points would like
13021,68,United Kingdom,9.0,good service easy to contact gives plenty of info,Vague 2021,positive,1,"['good', 'service', 'easy', 'to', 'contact', 'gives', 'plenty', 'of', 'info']","['g', 'o', 'o', 'd', ' ', 's', 'e', 'r', 'v', 'i', 'c', 'e', ' ', 'e', 'a', 's', 'y', ' ', 't', 'o', ' ', 'c', 'o', 'n', 't', 'a', 'c', 't', ' ', 'g', 'i', 'v', 'e', 's', ' ', 'p', 'l', 'e', 'n', 't', 'y', ' ', 'o', 'f', ' ', 'i', 'n', 'f', 'o']",9,good service easy contact gives plenty info
13022,40,United Kingdom,9.0,happy with service,Vague 2021,positive,1,"['happy', 'with', 'service']","['h', 'a', 'p', 'p', 'y', ' ', 'w', 'i', 't', 'h', ' ', 's', 'e', 'r', 'v', 'i', 'c', 'e']",3,happy service
13024,29,United Kingdom,6.0,there 0% easy to deal with,Vague 2021,negative,0,"['there', '0%', 'easy', 'to', 'deal', 'with']","['t', 'h', 'e', 'r', 'e', ' ', '0', '%', ' ', 'e', 'a', 's', 'y', ' ', 't', 'o', ' ', 'd', 'e', 'a', 'l', ' ', 'w', 'i', 't', 'h']",6,easy deal
13025,25,United Kingdom,10.0,easy to sort out and a convenient way of paying for things,Vague 2021,positive,1,"['easy', 'to', 'sort', 'out', 'and', 'a', 'convenient', 'way', 'of', 'paying', 'for', 'things']","['e', 'a', 's', 'y', ' ', 't', 'o', ' ', 's', 'o', 'r', 't', ' ', 'o', 'u', 't', ' ', 'a', 'n', 'd', ' ', 'a', ' ', 'c', 'o', 'n', 'v', 'e', 'n', 'i', 'e', 'n', 't', ' ', 'w', 'a', 'y', ' ', 'o', 'f', ' ', 'p', 'a', 'y', 'i', 'n', 'g', ' ', 'f', 'o', 'r', ' ', 't', 'h', 'i', 'n', 'g', 's']",12,easy sort convenient way paying things
13030,23,United Kingdom,10.0,they're are recommended by my family and they're so reliable,Vague 2021,positive,1,"[""they're"", 'are', 'recommended', 'by', 'my', 'family', 'and', ""they're"", 'so', 'reliable']","['t', 'h', 'e', 'y', ""'"", 'r', 'e', ' ', 'a', 'r', 'e', ' ', 'r', 'e', 'c', 'o', 'm', 'm', 'e', 'n', 'd', 'e', 'd', ' ', 'b', 'y', ' ', 'm', 'y', ' ', 'f', 'a', 'm', 'i', 'l', 'y', ' ', 'a', 'n', 'd', ' ', 't', 'h', 'e', 'y', ""'"", 'r', 'e', ' ', 's', 'o', ' ', 'r', 'e', 'l', 'i', 'a', 'b', 'l', 'e']",10,recommended family reliable
13034,69,United Kingdom,9.0,"easy to use, good on line facilities and good service",Vague 2021,positive,1,"['easy', 'to', 'use,', 'good', 'on', 'line', 'facilities', 'and', 'good', 'service']","['e', 'a', 's', 'y', ' ', 't', 'o', ' ', 'u', 's', 'e', ',', ' ', 'g', 'o', 'o', 'd', ' ', 'o', 'n', ' ', 'l', 'i', 'n', 'e', ' ', 'f', 'a', 'c', 'i', 'l', 'i', 't', 'i', 'e', 's', ' ', 'a', 'n', 'd', ' ', 'g', 'o', 'o', 'd', ' ', 's', 'e', 'r', 'v', 'i', 'c', 'e']",10,easy use good line facilities good service
13036,53,United Kingdom,6.0,the credit card has an average apr. the admin seems ok with it.,Vague 2021,negative,0,"['the', 'credit', 'card', 'has', 'an', 'average', 'apr.', 'the', 'admin', 'seems', 'ok', 'with', 'it.']","['t', 'h', 'e', ' ', 'c', 'r', 'e', 'd', 'i', 't', ' ', 'c', 'a', 'r', 'd', ' ', 'h', 'a', 's', ' ', 'a', 'n', ' ', 'a', 'v', 'e', 'r', 'a', 'g', 'e', ' ', 'a', 'p', 'r', '.', ' ', 't', 'h', 'e', ' ', 'a', 'd', 'm', 'i', 'n', ' ', 's', 'e', 'e', 'm', 's', ' ', 'o', 'k', ' ', 'w', 'i', 't', 'h', ' ', 'i', 't', '.']",13,credit card average apr admin seems
13037,36,United Kingdom,10.0,been with them for years; very happy.,Vague 2021,positive,1,"['been', 'with', 'them', 'for', 'years;', 'very', 'happy.']","['b', 'e', 'e', 'n', ' ', 'w', 'i', 't', 'h', ' ', 't', 'h', 'e', 'm', ' ', 'f', 'o', 'r', ' ', 'y', 'e', 'a', 'r', 's', ';', ' ', 'v', 'e', 'r', 'y', ' ', 'h', 'a', 'p', 'p', 'y', '.']",7,years happy
13038,67,United Kingdom,9.0,great customer service,Vague 2021,positive,1,"['great', 'customer', 'service']","['g', 'r', 'e', 'a', 't', ' ', 'c', 'u', 's', 't', 'o', 'm', 'e', 'r', ' ', 's', 'e', 'r', 'v', 'i', 'c', 'e']",3,great customer service
13039,31,United Kingdom,9.0,they only take money from you if you are earning enough. my loan was low interest.,Vague 2021,positive,1,"['they', 'only', 'take', 'money', 'from', 'you', 'if', 'you', 'are', 'earning', 'enough.', 'my', 'loan', 'was', 'low', 'interest.']","['t', 'h', 'e', 'y', ' ', 'o', 'n', 'l', 'y', ' ', 't', 'a', 'k', 'e', ' ', 'm', 'o', 'n', 'e', 'y', ' ', 'f', 'r', 'o', 'm', ' ', 'y', 'o', 'u', ' ', 'i', 'f', ' ', 'y', 'o', 'u', ' ', 'a', 'r', 'e', ' ', 'e', 'a', 'r', 'n', 'i', 'n', 'g', ' ', 'e', 'n', 'o', 'u', 'g', 'h', '.', ' ', 'm', 'y', ' ', 'l', 'o', 'a', 'n', ' ', 'w', 'a', 's', ' ', 'l', 'o', 'w', ' ', 'i', 'n', 't', 'e', 'r', 'e', 's', 't', '.']",16,take money earning enough loan low interest
13041,41,United Kingdom,10.0,never an issue,Vague 2021,positive,1,"['never', 'an', 'issue']","['n', 'e', 'v', 'e', 'r', ' ', 'a', 'n', ' ', 'i', 's', 's', 'u', 'e']",3,never issue
13042,53,United Kingdom,9.0,happy with overall experience and service,Vague 2021,positive,1,"['happy', 'with', 'overall', 'experience', 'and', 'service']","['h', 'a', 'p', 'p', 'y', ' ', 'w', 'i', 't', 'h', ' ', 'o', 'v', 'e', 'r', 'a', 'l', 'l', ' ', 'e', 'x', 'p', 'e', 'r', 'i', 'e', 'n', 'c', 'e', ' ', 'a', 'n', 'd', ' ', 's', 'e', 'r', 'v', 'i', 'c', 'e']",6,happy overall experience service
13044,66,United Kingdom,5.0,"where credit is concerned i do not recommend any company, i leave it up to the person to make their own decision",Vague 2021,negative,0,"['where', 'credit', 'is', 'concerned', 'i', 'do', 'not', 'recommend', 'any', 'company,', 'i', 'leave', 'it', 'up', 'to', 'the', 'person', 'to', 'make', 'their', 'own', 'decision']","['w', 'h', 'e', 'r', 'e', ' ', 'c', 'r', 'e', 'd', 'i', 't', ' ', 'i', 's', ' ', 'c', 'o', 'n', 'c', 'e', 'r', 'n', 'e', 'd', ' ', 'i', ' ', 'd', 'o', ' ', 'n', 'o', 't', ' ', 'r', 'e', 'c', 'o', 'm', 'm', 'e', 'n', 'd', ' ', 'a', 'n', 'y', ' ', 'c', 'o', 'm', 'p', 'a', 'n', 'y', ',', ' ', 'i', ' ', 'l', 'e', 'a', 'v', 'e', ' ', 'i', 't', ' ', 'u', 'p', ' ', 't', 'o', ' ', 't', 'h', 'e', ' ', 'p', 'e', 'r', 's', 'o', 'n', ' ', 't', 'o', ' ', 'm', 'a', 'k', 'e', ' ', 't', 'h', 'e', 'i', 'r', ' ', 'o', 'w', 'n', ' ', 'd', 'e', 'c', 'i', 's', 'i', 'o', 'n']",22,credit concerned recommend company leave person make decision
13046,62,United Kingdom,6.0,ordinary customers service,Vague 2021,negative,0,"['ordinary', 'customers', 'service']","['o', 'r', 'd', 'i', 'n', 'a', 'r', 'y', ' ', 'c', 'u', 's', 't', 'o', 'm', 'e', 'r', 's', ' ', 's', 'e', 'r', 'v', 'i', 'c', 'e']",3,ordinary customers service
13047,35,United Kingdom,3.0,derby county and socks lol lol i just got home and i,Vague 2021,negative,0,"['derby', 'county', 'and', 'socks', 'lol', 'lol', 'i', 'just', 'got', 'home', 'and', 'i']","['d', 'e', 'r', 'b', 'y', ' ', 'c', 'o', 'u', 'n', 't', 'y', ' ', 'a', 'n', 'd', ' ', 's', 'o', 'c', 'k', 's', ' ', 'l', 'o', 'l', ' ', 'l', 'o', 'l', ' ', 'i', ' ', 'j', 'u', 's', 't', ' ', 'g', 'o', 't', ' ', 'h', 'o', 'm', 'e', ' ', 'a', 'n', 'd', ' ', 'i']",12,derby county socks lol lol got home
13051,62,United Kingdom,9.0,good personal & professional services,Vague 2021,positive,1,"['good', 'personal', '&', 'professional', 'services']","['g', 'o', 'o', 'd', ' ', 'p', 'e', 'r', 's', 'o', 'n', 'a', 'l', ' ', '&', ' ', 'p', 'r', 'o', 'f', 'e', 's', 's', 'i', 'o', 'n', 'a', 'l', ' ', 's', 'e', 'r', 'v', 'i', 'c', 'e', 's']",5,good personal professional services
13052,56,United Kingdom,10.0,it`s excellent,Vague 2021,positive,1,"['it`s', 'excellent']","['i', 't', '`', 's', ' ', 'e', 'x', 'c', 'e', 'l', 'l', 'e', 'n', 't']",2,excellent
13055,40,United Kingdom,3.0,they don't offer a good service when you call them and sometimes calls take an hour or so on hold which is very frustrating,Vague 2021,negative,0,"['they', ""don't"", 'offer', 'a', 'good', 'service', 'when', 'you', 'call', 'them', 'and', 'sometimes', 'calls', 'take', 'an', 'hour', 'or', 'so', 'on', 'hold', 'which', 'is', 'very', 'frustrating']","['t', 'h', 'e', 'y', ' ', 'd', 'o', 'n', ""'"", 't', ' ', 'o', 'f', 'f', 'e', 'r', ' ', 'a', ' ', 'g', 'o', 'o', 'd', ' ', 's', 'e', 'r', 'v', 'i', 'c', 'e', ' ', 'w', 'h', 'e', 'n', ' ', 'y', 'o', 'u', ' ', 'c', 'a', 'l', 'l', ' ', 't', 'h', 'e', 'm', ' ', 'a', 'n', 'd', ' ', 's', 'o', 'm', 'e', 't', 'i', 'm', 'e', 's', ' ', 'c', 'a', 'l', 'l', 's', ' ', 't', 'a', 'k', 'e', ' ', 'a', 'n', ' ', 'h', 'o', 'u', 'r', ' ', 'o', 'r', ' ', 's', 'o', ' ', 'o', 'n', ' ', 'h', 'o', 'l', 'd', ' ', 'w', 'h', 'i', 'c', 'h', ' ', 'i', 's', ' ', 'v', 'e', 'r', 'y', ' ', 'f', 'r', 'u', 's', 't', 'r', 'a', 't', 'i', 'n', 'g']",24,offer good service call sometimes calls take hour hold frustrating
13056,60,United Kingdom,0.0,i would not advise anyone to get in debt.,Vague 2021,negative,0,"['i', 'would', 'not', 'advise', 'anyone', 'to', 'get', 'in', 'debt.']","['i', ' ', 'w', 'o', 'u', 'l', 'd', ' ', 'n', 'o', 't', ' ', 'a', 'd', 'v', 'i', 's', 'e', ' ', 'a', 'n', 'y', 'o', 'n', 'e', ' ', 't', 'o', ' ', 'g', 'e', 't', ' ', 'i', 'n', ' ', 'd', 'e', 'b', 't', '.']",9,would advise anyone get debt
13057,32,United Kingdom,10.0,been using this bank for years,Vague 2021,positive,1,"['been', 'using', 'this', 'bank', 'for', 'years']","['b', 'e', 'e', 'n', ' ', 'u', 's', 'i', 'n', 'g', ' ', 't', 'h', 'i', 's', ' ', 'b', 'a', 'n', 'k', ' ', 'f', 'o', 'r', ' ', 'y', 'e', 'a', 'r', 's']",6,using years
13060,57,United Kingdom,5.0,average score given as i feel service has neither been bad nor outstanding,Vague 2021,negative,0,"['average', 'score', 'given', 'as', 'i', 'feel', 'service', 'has', 'neither', 'been', 'bad', 'nor', 'outstanding']","['a', 'v', 'e', 'r', 'a', 'g', 'e', ' ', 's', 'c', 'o', 'r', 'e', ' ', 'g', 'i', 'v', 'e', 'n', ' ', 'a', 's', ' ', 'i', ' ', 'f', 'e', 'e', 'l', ' ', 's', 'e', 'r', 'v', 'i', 'c', 'e', ' ', 'h', 'a', 's', ' ', 'n', 'e', 'i', 't', 'h', 'e', 'r', ' ', 'b', 'e', 'e', 'n', ' ', 'b', 'a', 'd', ' ', 'n', 'o', 'r', ' ', 'o', 'u', 't', 's', 't', 'a', 'n', 'd', 'i', 'n', 'g']",13,average score given feel service neither bad outstanding
13061,61,United Kingdom,9.0,it was easy to set up and not too expensive,Vague 2021,positive,1,"['it', 'was', 'easy', 'to', 'set', 'up', 'and', 'not', 'too', 'expensive']","['i', 't', ' ', 'w', 'a', 's', ' ', 'e', 'a', 's', 'y', ' ', 't', 'o', ' ', 's', 'e', 't', ' ', 'u', 'p', ' ', 'a', 'n', 'd', ' ', 'n', 'o', 't', ' ', 't', 'o', 'o', ' ', 'e', 'x', 'p', 'e', 'n', 's', 'i', 'v', 'e']",10,easy set expensive
13062,51,United Kingdom,3.0,credit too easy,Vague 2021,negative,0,"['credit', 'too', 'easy']","['c', 'r', 'e', 'd', 'i', 't', ' ', 't', 'o', 'o', ' ', 'e', 'a', 's', 'y']",3,credit easy
13063,41,United Kingdom,10.0,never had any problems with them great customer service also,Vague 2021,positive,1,"['never', 'had', 'any', 'problems', 'with', 'them', 'great', 'customer', 'service', 'also']","['n', 'e', 'v', 'e', 'r', ' ', 'h', 'a', 'd', ' ', 'a', 'n', 'y', ' ', 'p', 'r', 'o', 'b', 'l', 'e', 'm', 's', ' ', 'w', 'i', 't', 'h', ' ', 't', 'h', 'e', 'm', ' ', 'g', 'r', 'e', 'a', 't', ' ', 'c', 'u', 's', 't', 'o', 'm', 'e', 'r', ' ', 's', 'e', 'r', 'v', 'i', 'c', 'e', ' ', 'a', 'l', 's', 'o']",10,never problems great customer service also
13064,71,United Kingdom,10.0,no problems in 50 years with them,Vague 2021,positive,1,"['no', 'problems', 'in', '50', 'years', 'with', 'them']","['n', 'o', ' ', 'p', 'r', 'o', 'b', 'l', 'e', 'm', 's', ' ', 'i', 'n', ' ', '5', '0', ' ', 'y', 'e', 'a', 'r', 's', ' ', 'w', 'i', 't', 'h', ' ', 't', 'h', 'e', 'm']",7,problems years
13065,42,United Kingdom,9.0,"very easy to use, great app",Vague 2021,positive,1,"['very', 'easy', 'to', 'use,', 'great', 'app']","['v', 'e', 'r', 'y', ' ', 'e', 'a', 's', 'y', ' ', 't', 'o', ' ', 'u', 's', 'e', ',', ' ', 'g', 'r', 'e', 'a', 't', ' ', 'a', 'p', 'p']",6,easy use great app
13069,32,United Kingdom,0.0,"credit cards should be banned. no one should be in debt 
i am in thousands of pounds of debt because i had credit and my then boyfriend financially and emotionally abused me. he couldnt get credit so abused my credit",Vague 2021,negative,0,"['credit', 'cards', 'should', 'be', 'banned.', 'no', 'one', 'should', 'be', 'in', 'debt', 'i', 'am', 'in', 'thousands', 'of', 'pounds', 'of', 'debt', 'because', 'i', 'had', 'credit', 'and', 'my', 'then', 'boyfriend', 'financially', 'and', 'emotionally', 'abused', 'me.', 'he', 'couldnt', 'get', 'credit', 'so', 'abused', 'my', 'credit']","['c', 'r', 'e', 'd', 'i', 't', ' ', 'c', 'a', 'r', 'd', 's', ' ', 's', 'h', 'o', 'u', 'l', 'd', ' ', 'b', 'e', ' ', 'b', 'a', 'n', 'n', 'e', 'd', '.', ' ', 'n', 'o', ' ', 'o', 'n', 'e', ' ', 's', 'h', 'o', 'u', 'l', 'd', ' ', 'b', 'e', ' ', 'i', 'n', ' ', 'd', 'e', 'b', 't', ' ', '\n', 'i', ' ', 'a', 'm', ' ', 'i', 'n', ' ', 't', 'h', 'o', 'u', 's', 'a', 'n', 'd', 's', ' ', 'o', 'f', ' ', 'p', 'o', 'u', 'n', 'd', 's', ' ', 'o', 'f', ' ', 'd', 'e', 'b', 't', ' ', 'b', 'e', 'c', 'a', 'u', 's', 'e', ' ', 'i', ' ', 'h', 'a', 'd', ' ', 'c', 'r', 'e', 'd', 'i', 't', ' ', 'a', 'n', 'd', ' ', 'm', 'y', ' ', 't', 'h', 'e', 'n', ' ', 'b', 'o', 'y', 'f', 'r', 'i', 'e', 'n', 'd', ' ', 'f', 'i', 'n', 'a', 'n', 'c', 'i', 'a', 'l', 'l', 'y', ' ', 'a', 'n', 'd', ' ', 'e', 'm', 'o', 't', 'i', 'o', 'n', 'a', 'l', 'l', 'y', ' ', 'a', 'b', 'u', 's', 'e', 'd', ' ', 'm', 'e', '.', ' ', 'h', 'e', ' ', 'c', 'o', 'u', 'l', 'd', 'n', 't', ' ', 'g', 'e', 't', ' ', 'c', 'r', 'e', 'd', 'i', 't', ' ', 's', 'o', ' ', 'a', 'b', 'u', 's', 'e', 'd', ' ', 'm', 'y', ' ', 'c', 'r', 'e', 'd', 'i', 't']",40,credit cards banned one debt thousands pounds debt credit boyfriend financially emotionally abused couldnt get credit abused credit
13070,65,United Kingdom,9.0,really easy to deal with straight forward easy to understand documentation,Vague 2021,positive,1,"['really', 'easy', 'to', 'deal', 'with', 'straight', 'forward', 'easy', 'to', 'understand', 'documentation']","['r', 'e', 'a', 'l', 'l', 'y', ' ', 'e', 'a', 's', 'y', ' ', 't', 'o', ' ', 'd', 'e', 'a', 'l', ' ', 'w', 'i', 't', 'h', ' ', 's', 't', 'r', 'a', 'i', 'g', 'h', 't', ' ', 'f', 'o', 'r', 'w', 'a', 'r', 'd', ' ', 'e', 'a', 's', 'y', ' ', 't', 'o', ' ', 'u', 'n', 'd', 'e', 'r', 's', 't', 'a', 'n', 'd', ' ', 'd', 'o', 'c', 'u', 'm', 'e', 'n', 't', 'a', 't', 'i', 'o', 'n']",11,really easy deal straight forward easy understand documentation
13074,57,United Kingdom,6.0,good offers,Vague 2021,negative,0,"['good', 'offers']","['g', 'o', 'o', 'd', ' ', 'o', 'f', 'f', 'e', 'r', 's']",2,good offers
13076,56,United Kingdom,6.0,as good as any other credit card,Vague 2021,negative,0,"['as', 'good', 'as', 'any', 'other', 'credit', 'card']","['a', 's', ' ', 'g', 'o', 'o', 'd', ' ', 'a', 's', ' ', 'a', 'n', 'y', ' ', 'o', 't', 'h', 'e', 'r', ' ', 'c', 'r', 'e', 'd', 'i', 't', ' ', 'c', 'a', 'r', 'd']",7,good credit card
13078,66,United Kingdom,6.0,they are hard to get hold of if you have a problem,Vague 2021,negative,0,"['they', 'are', 'hard', 'to', 'get', 'hold', 'of', 'if', 'you', 'have', 'a', 'problem']","['t', 'h', 'e', 'y', ' ', 'a', 'r', 'e', ' ', 'h', 'a', 'r', 'd', ' ', 't', 'o', ' ', 'g', 'e', 't', ' ', 'h', 'o', 'l', 'd', ' ', 'o', 'f', ' ', 'i', 'f', ' ', 'y', 'o', 'u', ' ', 'h', 'a', 'v', 'e', ' ', 'a', ' ', 'p', 'r', 'o', 'b', 'l', 'e', 'm']",12,hard get hold problem
13079,71,United Kingdom,9.0,no problems have used before,Vague 2021,positive,1,"['no', 'problems', 'have', 'used', 'before']","['n', 'o', ' ', 'p', 'r', 'o', 'b', 'l', 'e', 'm', 's', ' ', 'h', 'a', 'v', 'e', ' ', 'u', 's', 'e', 'd', ' ', 'b', 'e', 'f', 'o', 'r', 'e']",5,problems used
13081,27,United Kingdom,9.0,easy to use and easy to pay,Vague 2021,positive,1,"['easy', 'to', 'use', 'and', 'easy', 'to', 'pay']","['e', 'a', 's', 'y', ' ', 't', 'o', ' ', 'u', 's', 'e', ' ', 'a', 'n', 'd', ' ', 'e', 'a', 's', 'y', ' ', 't', 'o', ' ', 'p', 'a', 'y']",7,easy use easy pay
13082,62,United Kingdom,9.0,"i have found them good to deal with, but everyone will havetheir own criteria forchoice.",Vague 2021,positive,1,"['i', 'have', 'found', 'them', 'good', 'to', 'deal', 'with,', 'but', 'everyone', 'will', 'havetheir', 'own', 'criteria', 'forchoice.']","['i', ' ', 'h', 'a', 'v', 'e', ' ', 'f', 'o', 'u', 'n', 'd', ' ', 't', 'h', 'e', 'm', ' ', 'g', 'o', 'o', 'd', ' ', 't', 'o', ' ', 'd', 'e', 'a', 'l', ' ', 'w', 'i', 't', 'h', ',', ' ', 'b', 'u', 't', ' ', 'e', 'v', 'e', 'r', 'y', 'o', 'n', 'e', ' ', 'w', 'i', 'l', 'l', ' ', 'h', 'a', 'v', 'e', 't', 'h', 'e', 'i', 'r', ' ', 'o', 'w', 'n', ' ', 'c', 'r', 'i', 't', 'e', 'r', 'i', 'a', ' ', 'f', 'o', 'r', 'c', 'h', 'o', 'i', 'c', 'e', '.']",15,found good deal everyone havetheir criteria forchoice
